model,feature,k,primary_head,n_active,avg_l0,baseline_r_LD_z,baseline_LD_mean,top1_feat,top1_r_z,top1_r_ld,top1_argmax_attr,top1_argmax_zcorr,ph_in_top5_attr,ph_in_top5_zcorr
gemma2-2b,height,1,6,78,43.0768,0.8911,0.7523,2161,-0.5321,-0.4190,6,6,2,3
gemma2-2b,height,15,6,48,36.0283,0.9304,1.1203,7428,0.7165,0.6247,1,6,0,2
gemma2-2b,height,4,6,65,38.9323,0.9400,0.5027,2161,-0.7050,-0.5951,6,6,2,4
gemma2-2b,speed,15,6,57,41.4367,0.8115,0.4728,9819,0.3653,0.0849,1,4,1,1
gemma2-2b,weight,15,6,51,39.2284,0.9347,1.4753,8989,0.4653,0.3893,1,6,0,1
gemma2-9b,height,1,11,31,25.5636,0.8305,-0.1601,1629,0.4876,0.3361,11,11,4,5
gemma2-9b,height,15,11,35,28.2899,0.9518,0.6460,13176,-0.6886,-0.5962,11,11,4,3
gemma2-9b,height,4,11,30,24.5667,0.9249,-0.0207,11020,0.6121,0.4856,11,11,4,4
gemma2-9b,speed,15,11,30,23.0275,0.8882,-0.0442,228,-0.3653,-0.2502,11,11,4,3
gemma2-9b,weight,15,11,36,28.8883,0.9513,0.5655,1136,0.4709,0.4190,11,11,3,3
