id,pair,condition,x,mu,z,sigma,seed,low_word,high_word,logit_diff
grade_abs_explicit_001590,grade_abs,explicit,30.0,40.0,-0.8333333333333334,12.0,-1,failing,passing,-1.25
grade_abs_explicit_001621,grade_abs,explicit,30.0,55.0,-2.0833333333333335,12.0,-1,failing,passing,-3.0
grade_abs_explicit_001652,grade_abs,explicit,30.0,65.0,-2.9166666666666665,12.0,-1,failing,passing,-3.5
grade_abs_explicit_001683,grade_abs,explicit,30.0,75.0,-3.75,12.0,-1,failing,passing,-3.75
grade_abs_explicit_001714,grade_abs,explicit,30.0,85.0,-4.583333333333333,12.0,-1,failing,passing,-4.125
grade_abs_explicit_001746,grade_abs,explicit,50.0,40.0,0.8333333333333334,12.0,-1,failing,passing,1.0
grade_abs_explicit_001777,grade_abs,explicit,50.0,55.0,-0.4166666666666667,12.0,-1,failing,passing,-1.125
grade_abs_explicit_001808,grade_abs,explicit,50.0,65.0,-1.25,12.0,-1,failing,passing,-2.625
grade_abs_explicit_001839,grade_abs,explicit,50.0,75.0,-2.0833333333333335,12.0,-1,failing,passing,-3.5
grade_abs_explicit_001870,grade_abs,explicit,50.0,85.0,-2.9166666666666665,12.0,-1,failing,passing,-3.875
grade_abs_explicit_001902,grade_abs,explicit,60.0,40.0,1.6666666666666667,12.0,-1,failing,passing,0.75
grade_abs_explicit_001933,grade_abs,explicit,60.0,55.0,0.4166666666666667,12.0,-1,failing,passing,0.75
grade_abs_explicit_001964,grade_abs,explicit,60.0,65.0,-0.4166666666666667,12.0,-1,failing,passing,-1.5
grade_abs_explicit_001995,grade_abs,explicit,60.0,75.0,-1.25,12.0,-1,failing,passing,-2.875
grade_abs_explicit_002026,grade_abs,explicit,60.0,85.0,-2.0833333333333335,12.0,-1,failing,passing,-3.625
grade_abs_explicit_002058,grade_abs,explicit,75.0,40.0,2.9166666666666665,12.0,-1,failing,passing,0.25
grade_abs_explicit_002089,grade_abs,explicit,75.0,55.0,1.6666666666666667,12.0,-1,failing,passing,0.625
grade_abs_explicit_002120,grade_abs,explicit,75.0,65.0,0.8333333333333334,12.0,-1,failing,passing,0.875
grade_abs_explicit_002151,grade_abs,explicit,75.0,75.0,0.0,12.0,-1,failing,passing,0.25
grade_abs_explicit_002182,grade_abs,explicit,75.0,85.0,-0.8333333333333334,12.0,-1,failing,passing,-2.625
grade_abs_explicit_002214,grade_abs,explicit,95.0,40.0,4.583333333333333,12.0,-1,failing,passing,-0.25
grade_abs_explicit_002245,grade_abs,explicit,95.0,55.0,3.3333333333333335,12.0,-1,failing,passing,-0.375
grade_abs_explicit_002276,grade_abs,explicit,95.0,65.0,2.5,12.0,-1,failing,passing,-0.375
grade_abs_explicit_002307,grade_abs,explicit,95.0,75.0,1.6666666666666667,12.0,-1,failing,passing,-0.5
grade_abs_explicit_002338,grade_abs,explicit,95.0,85.0,0.8333333333333334,12.0,-1,failing,passing,-0.75
grade_abs_implicit_001560,grade_abs,implicit,30.0,40.0,-0.8333333333333334,12.0,0,failing,passing,-1.25
grade_abs_implicit_001561,grade_abs,implicit,30.0,40.0,-0.8333333333333334,12.0,1,failing,passing,-1.375
grade_abs_implicit_001562,grade_abs,implicit,30.0,40.0,-0.8333333333333334,12.0,2,failing,passing,-0.875
grade_abs_implicit_001563,grade_abs,implicit,30.0,40.0,-0.8333333333333334,12.0,3,failing,passing,-1.625
grade_abs_implicit_001564,grade_abs,implicit,30.0,40.0,-0.8333333333333334,12.0,4,failing,passing,-1.25
grade_abs_implicit_001565,grade_abs,implicit,30.0,40.0,-0.8333333333333334,12.0,5,failing,passing,-0.875
grade_abs_implicit_001566,grade_abs,implicit,30.0,40.0,-0.8333333333333334,12.0,6,failing,passing,-1.125
grade_abs_implicit_001567,grade_abs,implicit,30.0,40.0,-0.8333333333333334,12.0,7,failing,passing,-1.0
grade_abs_implicit_001568,grade_abs,implicit,30.0,40.0,-0.8333333333333334,12.0,8,failing,passing,-1.125
grade_abs_implicit_001569,grade_abs,implicit,30.0,40.0,-0.8333333333333334,12.0,9,failing,passing,-1.25
grade_abs_implicit_001570,grade_abs,implicit,30.0,40.0,-0.8333333333333334,12.0,10,failing,passing,-1.25
grade_abs_implicit_001571,grade_abs,implicit,30.0,40.0,-0.8333333333333334,12.0,11,failing,passing,-1.125
grade_abs_implicit_001572,grade_abs,implicit,30.0,40.0,-0.8333333333333334,12.0,12,failing,passing,-1.25
grade_abs_implicit_001573,grade_abs,implicit,30.0,40.0,-0.8333333333333334,12.0,13,failing,passing,-0.875
grade_abs_implicit_001574,grade_abs,implicit,30.0,40.0,-0.8333333333333334,12.0,14,failing,passing,-1.375
grade_abs_implicit_001575,grade_abs,implicit,30.0,40.0,-0.8333333333333334,12.0,15,failing,passing,-1.875
grade_abs_implicit_001576,grade_abs,implicit,30.0,40.0,-0.8333333333333334,12.0,16,failing,passing,-0.75
grade_abs_implicit_001577,grade_abs,implicit,30.0,40.0,-0.8333333333333334,12.0,17,failing,passing,-1.375
grade_abs_implicit_001578,grade_abs,implicit,30.0,40.0,-0.8333333333333334,12.0,18,failing,passing,-0.75
grade_abs_implicit_001579,grade_abs,implicit,30.0,40.0,-0.8333333333333334,12.0,19,failing,passing,-1.625
grade_abs_implicit_001580,grade_abs,implicit,30.0,40.0,-0.8333333333333334,12.0,20,failing,passing,-1.375
grade_abs_implicit_001581,grade_abs,implicit,30.0,40.0,-0.8333333333333334,12.0,21,failing,passing,-1.125
grade_abs_implicit_001582,grade_abs,implicit,30.0,40.0,-0.8333333333333334,12.0,22,failing,passing,-1.375
grade_abs_implicit_001583,grade_abs,implicit,30.0,40.0,-0.8333333333333334,12.0,23,failing,passing,-1.125
grade_abs_implicit_001584,grade_abs,implicit,30.0,40.0,-0.8333333333333334,12.0,24,failing,passing,-1.25
grade_abs_implicit_001585,grade_abs,implicit,30.0,40.0,-0.8333333333333334,12.0,25,failing,passing,-1.25
grade_abs_implicit_001586,grade_abs,implicit,30.0,40.0,-0.8333333333333334,12.0,26,failing,passing,-1.375
grade_abs_implicit_001587,grade_abs,implicit,30.0,40.0,-0.8333333333333334,12.0,27,failing,passing,-0.75
grade_abs_implicit_001588,grade_abs,implicit,30.0,40.0,-0.8333333333333334,12.0,28,failing,passing,-1.375
grade_abs_implicit_001589,grade_abs,implicit,30.0,40.0,-0.8333333333333334,12.0,29,failing,passing,-1.375
grade_abs_implicit_001591,grade_abs,implicit,30.0,55.0,-2.0833333333333335,12.0,0,failing,passing,-1.625
grade_abs_implicit_001592,grade_abs,implicit,30.0,55.0,-2.0833333333333335,12.0,1,failing,passing,-1.625
grade_abs_implicit_001593,grade_abs,implicit,30.0,55.0,-2.0833333333333335,12.0,2,failing,passing,-1.625
grade_abs_implicit_001594,grade_abs,implicit,30.0,55.0,-2.0833333333333335,12.0,3,failing,passing,-1.75
grade_abs_implicit_001595,grade_abs,implicit,30.0,55.0,-2.0833333333333335,12.0,4,failing,passing,-1.875
grade_abs_implicit_001596,grade_abs,implicit,30.0,55.0,-2.0833333333333335,12.0,5,failing,passing,-1.5
grade_abs_implicit_001597,grade_abs,implicit,30.0,55.0,-2.0833333333333335,12.0,6,failing,passing,-2.0
grade_abs_implicit_001598,grade_abs,implicit,30.0,55.0,-2.0833333333333335,12.0,7,failing,passing,-1.875
grade_abs_implicit_001599,grade_abs,implicit,30.0,55.0,-2.0833333333333335,12.0,8,failing,passing,-2.0
grade_abs_implicit_001600,grade_abs,implicit,30.0,55.0,-2.0833333333333335,12.0,9,failing,passing,-1.375
grade_abs_implicit_001601,grade_abs,implicit,30.0,55.0,-2.0833333333333335,12.0,10,failing,passing,-1.25
grade_abs_implicit_001602,grade_abs,implicit,30.0,55.0,-2.0833333333333335,12.0,11,failing,passing,-1.75
grade_abs_implicit_001603,grade_abs,implicit,30.0,55.0,-2.0833333333333335,12.0,12,failing,passing,-1.75
grade_abs_implicit_001604,grade_abs,implicit,30.0,55.0,-2.0833333333333335,12.0,13,failing,passing,-1.875
grade_abs_implicit_001605,grade_abs,implicit,30.0,55.0,-2.0833333333333335,12.0,14,failing,passing,-1.75
grade_abs_implicit_001606,grade_abs,implicit,30.0,55.0,-2.0833333333333335,12.0,15,failing,passing,-2.125
grade_abs_implicit_001607,grade_abs,implicit,30.0,55.0,-2.0833333333333335,12.0,16,failing,passing,-1.625
grade_abs_implicit_001608,grade_abs,implicit,30.0,55.0,-2.0833333333333335,12.0,17,failing,passing,-2.125
grade_abs_implicit_001609,grade_abs,implicit,30.0,55.0,-2.0833333333333335,12.0,18,failing,passing,-1.375
grade_abs_implicit_001610,grade_abs,implicit,30.0,55.0,-2.0833333333333335,12.0,19,failing,passing,-2.125
grade_abs_implicit_001611,grade_abs,implicit,30.0,55.0,-2.0833333333333335,12.0,20,failing,passing,-1.5
grade_abs_implicit_001612,grade_abs,implicit,30.0,55.0,-2.0833333333333335,12.0,21,failing,passing,-2.25
grade_abs_implicit_001613,grade_abs,implicit,30.0,55.0,-2.0833333333333335,12.0,22,failing,passing,-1.625
grade_abs_implicit_001614,grade_abs,implicit,30.0,55.0,-2.0833333333333335,12.0,23,failing,passing,-1.75
grade_abs_implicit_001615,grade_abs,implicit,30.0,55.0,-2.0833333333333335,12.0,24,failing,passing,-1.75
grade_abs_implicit_001616,grade_abs,implicit,30.0,55.0,-2.0833333333333335,12.0,25,failing,passing,-1.875
grade_abs_implicit_001617,grade_abs,implicit,30.0,55.0,-2.0833333333333335,12.0,26,failing,passing,-2.0
grade_abs_implicit_001618,grade_abs,implicit,30.0,55.0,-2.0833333333333335,12.0,27,failing,passing,-1.375
grade_abs_implicit_001619,grade_abs,implicit,30.0,55.0,-2.0833333333333335,12.0,28,failing,passing,-1.875
grade_abs_implicit_001620,grade_abs,implicit,30.0,55.0,-2.0833333333333335,12.0,29,failing,passing,-1.875
