id,pair,condition,x,mu,z,sigma,seed,low_word,high_word,logit_diff
age_explicit_000810,age,explicit,20.0,25.0,-1.0,5.0,-1,young,old,-2.75
age_explicit_000841,age,explicit,20.0,35.0,-3.0,5.0,-1,young,old,-2.5
age_explicit_000872,age,explicit,20.0,40.0,-4.0,5.0,-1,young,old,-2.625
age_explicit_000903,age,explicit,20.0,45.0,-5.0,5.0,-1,young,old,-3.0
age_explicit_000934,age,explicit,20.0,55.0,-7.0,5.0,-1,young,old,-2.75
age_explicit_000965,age,explicit,30.0,25.0,1.0,5.0,-1,young,old,0.0
age_explicit_000996,age,explicit,30.0,35.0,-1.0,5.0,-1,young,old,-2.25
age_explicit_001027,age,explicit,30.0,40.0,-2.0,5.0,-1,young,old,-2.5
age_explicit_001058,age,explicit,30.0,45.0,-3.0,5.0,-1,young,old,-2.75
age_explicit_001089,age,explicit,30.0,55.0,-5.0,5.0,-1,young,old,-3.125
age_explicit_001120,age,explicit,40.0,25.0,3.0,5.0,-1,young,old,1.25
age_explicit_001151,age,explicit,40.0,35.0,1.0,5.0,-1,young,old,-0.125
age_explicit_001182,age,explicit,40.0,40.0,0.0,5.0,-1,young,old,-0.375
age_explicit_001213,age,explicit,40.0,45.0,-1.0,5.0,-1,young,old,-1.875
age_explicit_001244,age,explicit,40.0,55.0,-3.0,5.0,-1,young,old,-2.75
age_explicit_001275,age,explicit,50.0,25.0,5.0,5.0,-1,young,old,1.75
age_explicit_001306,age,explicit,50.0,35.0,3.0,5.0,-1,young,old,1.125
age_explicit_001337,age,explicit,50.0,40.0,2.0,5.0,-1,young,old,0.875
age_explicit_001368,age,explicit,50.0,45.0,1.0,5.0,-1,young,old,0.25
age_explicit_001399,age,explicit,50.0,55.0,-1.0,5.0,-1,young,old,-1.75
age_explicit_001430,age,explicit,60.0,25.0,7.0,5.0,-1,young,old,1.625
age_explicit_001461,age,explicit,60.0,35.0,5.0,5.0,-1,young,old,1.625
age_explicit_001492,age,explicit,60.0,40.0,4.0,5.0,-1,young,old,1.375
age_explicit_001523,age,explicit,60.0,45.0,3.0,5.0,-1,young,old,1.125
age_explicit_001554,age,explicit,60.0,55.0,1.0,5.0,-1,young,old,0.125
age_implicit_000780,age,implicit,20.0,25.0,-1.0,5.0,0,young,old,-0.75
age_implicit_000781,age,implicit,20.0,25.0,-1.0,5.0,1,young,old,0.125
age_implicit_000782,age,implicit,20.0,25.0,-1.0,5.0,2,young,old,-0.375
age_implicit_000783,age,implicit,20.0,25.0,-1.0,5.0,3,young,old,-0.75
age_implicit_000784,age,implicit,20.0,25.0,-1.0,5.0,4,young,old,-0.875
age_implicit_000785,age,implicit,20.0,25.0,-1.0,5.0,5,young,old,0.5
age_implicit_000786,age,implicit,20.0,25.0,-1.0,5.0,6,young,old,0.0
age_implicit_000787,age,implicit,20.0,25.0,-1.0,5.0,7,young,old,-0.375
age_implicit_000788,age,implicit,20.0,25.0,-1.0,5.0,8,young,old,-0.625
age_implicit_000789,age,implicit,20.0,25.0,-1.0,5.0,9,young,old,-0.625
age_implicit_000790,age,implicit,20.0,25.0,-1.0,5.0,10,young,old,-0.375
age_implicit_000791,age,implicit,20.0,25.0,-1.0,5.0,11,young,old,-0.5
age_implicit_000792,age,implicit,20.0,25.0,-1.0,5.0,12,young,old,-0.125
age_implicit_000793,age,implicit,20.0,25.0,-1.0,5.0,13,young,old,-0.625
age_implicit_000794,age,implicit,20.0,25.0,-1.0,5.0,14,young,old,-0.125
age_implicit_000795,age,implicit,20.0,25.0,-1.0,5.0,15,young,old,-0.125
age_implicit_000796,age,implicit,20.0,25.0,-1.0,5.0,16,young,old,-0.75
age_implicit_000797,age,implicit,20.0,25.0,-1.0,5.0,17,young,old,0.0
age_implicit_000798,age,implicit,20.0,25.0,-1.0,5.0,18,young,old,0.0
age_implicit_000799,age,implicit,20.0,25.0,-1.0,5.0,19,young,old,0.0
age_implicit_000800,age,implicit,20.0,25.0,-1.0,5.0,20,young,old,0.0
age_implicit_000801,age,implicit,20.0,25.0,-1.0,5.0,21,young,old,-0.625
age_implicit_000802,age,implicit,20.0,25.0,-1.0,5.0,22,young,old,0.125
age_implicit_000803,age,implicit,20.0,25.0,-1.0,5.0,23,young,old,-0.875
age_implicit_000804,age,implicit,20.0,25.0,-1.0,5.0,24,young,old,-0.375
age_implicit_000805,age,implicit,20.0,25.0,-1.0,5.0,25,young,old,-0.375
