id,pair,condition,x,mu,z,sigma,seed,low_word,high_word,logit_diff
explicit_03500,,explicit,150.0,145.0,0.5,,-1,,,5.6875
explicit_03501,,explicit,150.0,150.0,0.0,,-1,,,3.75
explicit_03502,,explicit,150.0,160.0,-1.0,,-1,,,0.25
explicit_03503,,explicit,150.0,165.0,-1.5,,-1,,,-0.0625
explicit_03504,,explicit,150.0,170.0,-2.0,,-1,,,0.0625
explicit_03505,,explicit,150.0,180.0,-3.0,,-1,,,0.4375
explicit_03506,,explicit,150.0,185.0,-3.5,,-1,,,0.8125
explicit_03507,,explicit,160.0,145.0,1.5,,-1,,,6.4375
explicit_03508,,explicit,160.0,150.0,1.0,,-1,,,6.4375
explicit_03509,,explicit,160.0,160.0,0.0,,-1,,,4.1875
explicit_03510,,explicit,160.0,165.0,-0.5,,-1,,,1.375
explicit_03511,,explicit,160.0,170.0,-1.0,,-1,,,0.0
explicit_03512,,explicit,160.0,180.0,-2.0,,-1,,,0.6875
explicit_03513,,explicit,160.0,185.0,-2.5,,-1,,,1.1875
explicit_03514,,explicit,165.0,145.0,2.0,,-1,,,6.71875
explicit_03515,,explicit,165.0,150.0,1.5,,-1,,,6.5
explicit_03516,,explicit,165.0,160.0,0.5,,-1,,,6.0625
explicit_03517,,explicit,165.0,165.0,0.0,,-1,,,4.5625
explicit_03518,,explicit,165.0,170.0,-0.5,,-1,,,0.6875
explicit_03519,,explicit,165.0,180.0,-1.5,,-1,,,0.4375
explicit_03520,,explicit,165.0,185.0,-2.0,,-1,,,0.875
explicit_03521,,explicit,170.0,145.0,2.5,,-1,,,6.8125
explicit_03522,,explicit,170.0,150.0,2.0,,-1,,,6.75
explicit_03523,,explicit,170.0,160.0,1.0,,-1,,,6.8125
explicit_03524,,explicit,170.0,165.0,0.5,,-1,,,6.625
explicit_03525,,explicit,170.0,170.0,0.0,,-1,,,4.6875
explicit_03526,,explicit,170.0,180.0,-1.0,,-1,,,0.5
explicit_03527,,explicit,170.0,185.0,-1.5,,-1,,,0.75
explicit_03528,,explicit,180.0,145.0,3.5,,-1,,,7.3125
explicit_03529,,explicit,180.0,150.0,3.0,,-1,,,6.875
explicit_03530,,explicit,180.0,160.0,2.0,,-1,,,7.125
explicit_03531,,explicit,180.0,165.0,1.5,,-1,,,7.1875
explicit_03532,,explicit,180.0,170.0,1.0,,-1,,,7.21875
explicit_03533,,explicit,180.0,180.0,0.0,,-1,,,5.09375
explicit_03534,,explicit,180.0,185.0,-0.5,,-1,,,3.375
implicit_00000,,implicit,150.0,145.0,0.5,,0,,,2.8125
implicit_00001,,implicit,150.0,145.0,0.5,,1,,,3.9375
implicit_00002,,implicit,150.0,145.0,0.5,,2,,,3.875
implicit_00003,,implicit,150.0,145.0,0.5,,3,,,3.875
implicit_00004,,implicit,150.0,145.0,0.5,,4,,,3.5625
implicit_00005,,implicit,150.0,145.0,0.5,,5,,,4.6875
implicit_00006,,implicit,150.0,145.0,0.5,,6,,,3.375
implicit_00007,,implicit,150.0,145.0,0.5,,7,,,3.0625
implicit_00008,,implicit,150.0,145.0,0.5,,8,,,2.0625
implicit_00009,,implicit,150.0,145.0,0.5,,9,,,4.1875
implicit_00010,,implicit,150.0,145.0,0.5,,10,,,2.9375
implicit_00011,,implicit,150.0,145.0,0.5,,11,,,3.1875
implicit_00012,,implicit,150.0,145.0,0.5,,12,,,2.75
implicit_00013,,implicit,150.0,145.0,0.5,,13,,,3.5625
implicit_00014,,implicit,150.0,145.0,0.5,,14,,,1.625
implicit_00015,,implicit,150.0,145.0,0.5,,15,,,3.9375
implicit_00016,,implicit,150.0,145.0,0.5,,16,,,3.5
implicit_00017,,implicit,150.0,145.0,0.5,,17,,,2.8125
implicit_00018,,implicit,150.0,145.0,0.5,,18,,,2.5625
implicit_00019,,implicit,150.0,145.0,0.5,,19,,,2.8125
implicit_00020,,implicit,150.0,145.0,0.5,,20,,,1.875
implicit_00021,,implicit,150.0,145.0,0.5,,21,,,3.25
implicit_00022,,implicit,150.0,145.0,0.5,,22,,,2.75
implicit_00023,,implicit,150.0,145.0,0.5,,23,,,4.1875
implicit_00024,,implicit,150.0,145.0,0.5,,24,,,1.5
implicit_00025,,implicit,150.0,145.0,0.5,,25,,,2.3125
implicit_00026,,implicit,150.0,145.0,0.5,,26,,,2.3125
implicit_00027,,implicit,150.0,145.0,0.5,,27,,,2.1875
implicit_00028,,implicit,150.0,145.0,0.5,,28,,,3.5
implicit_00029,,implicit,150.0,145.0,0.5,,29,,,3.5625
implicit_00030,,implicit,150.0,145.0,0.5,,30,,,2.5625
implicit_00031,,implicit,150.0,145.0,0.5,,31,,,3.4375
implicit_00032,,implicit,150.0,145.0,0.5,,32,,,3.25
implicit_00033,,implicit,150.0,145.0,0.5,,33,,,4.75
implicit_00034,,implicit,150.0,145.0,0.5,,34,,,3.375
implicit_00035,,implicit,150.0,145.0,0.5,,35,,,4.6875
implicit_00036,,implicit,150.0,145.0,0.5,,36,,,2.25
implicit_00037,,implicit,150.0,145.0,0.5,,37,,,4.25
implicit_00038,,implicit,150.0,145.0,0.5,,38,,,4.0
implicit_00039,,implicit,150.0,145.0,0.5,,39,,,2.5
implicit_00040,,implicit,150.0,145.0,0.5,,40,,,2.5
implicit_00041,,implicit,150.0,145.0,0.5,,41,,,3.5
implicit_00042,,implicit,150.0,145.0,0.5,,42,,,3.125
