id,pair,condition,x,mu,z,sigma,seed,low_word,high_word,logit_diff
age_zs_000150,age,,20.0,,,,0,young,old,0.5
age_zs_000151,age,,20.0,,,,1,young,old,1.25
age_zs_000152,age,,20.0,,,,2,young,old,1.0
age_zs_000153,age,,20.0,,,,3,young,old,1.25
age_zs_000154,age,,20.0,,,,4,young,old,-0.875
age_zs_000155,age,,20.0,,,,5,young,old,0.5
age_zs_000156,age,,20.0,,,,6,young,old,0.75
age_zs_000157,age,,20.0,,,,7,young,old,1.375
age_zs_000158,age,,20.0,,,,8,young,old,0.125
age_zs_000159,age,,20.0,,,,9,young,old,1.25
age_zs_000160,age,,20.0,,,,10,young,old,1.375
age_zs_000161,age,,20.0,,,,11,young,old,1.5
age_zs_000162,age,,20.0,,,,12,young,old,-0.375
age_zs_000163,age,,20.0,,,,13,young,old,1.25
age_zs_000164,age,,20.0,,,,14,young,old,0.0
age_zs_000165,age,,20.0,,,,15,young,old,2.5
age_zs_000166,age,,20.0,,,,16,young,old,2.0
age_zs_000167,age,,20.0,,,,17,young,old,1.375
age_zs_000168,age,,20.0,,,,18,young,old,0.125
age_zs_000169,age,,20.0,,,,19,young,old,0.0
age_zs_000170,age,,20.0,,,,20,young,old,-0.25
age_zs_000171,age,,20.0,,,,21,young,old,0.875
age_zs_000172,age,,20.0,,,,22,young,old,0.0
age_zs_000173,age,,20.0,,,,23,young,old,0.75
age_zs_000174,age,,20.0,,,,24,young,old,0.5
age_zs_000175,age,,20.0,,,,25,young,old,0.0
age_zs_000176,age,,20.0,,,,26,young,old,1.5
age_zs_000177,age,,20.0,,,,27,young,old,0.5
age_zs_000178,age,,20.0,,,,28,young,old,1.0
age_zs_000179,age,,20.0,,,,29,young,old,0.25
age_zs_000180,age,,30.0,,,,0,young,old,0.75
age_zs_000181,age,,30.0,,,,1,young,old,1.375
age_zs_000182,age,,30.0,,,,2,young,old,1.625
age_zs_000183,age,,30.0,,,,3,young,old,1.0
age_zs_000184,age,,30.0,,,,4,young,old,0.0
age_zs_000185,age,,30.0,,,,5,young,old,0.625
age_zs_000186,age,,30.0,,,,6,young,old,0.8125
age_zs_000187,age,,30.0,,,,7,young,old,1.375
age_zs_000188,age,,30.0,,,,8,young,old,0.375
age_zs_000189,age,,30.0,,,,9,young,old,1.25
age_zs_000190,age,,30.0,,,,10,young,old,1.75
age_zs_000191,age,,30.0,,,,11,young,old,1.375
age_zs_000192,age,,30.0,,,,12,young,old,0.375
age_zs_000193,age,,30.0,,,,13,young,old,1.5
age_zs_000194,age,,30.0,,,,14,young,old,0.875
age_zs_000195,age,,30.0,,,,15,young,old,1.875
age_zs_000196,age,,30.0,,,,16,young,old,1.5
age_zs_000197,age,,30.0,,,,17,young,old,1.25
age_zs_000198,age,,30.0,,,,18,young,old,0.5
age_zs_000199,age,,30.0,,,,19,young,old,0.25
age_zs_000200,age,,30.0,,,,20,young,old,-0.125
age_zs_000201,age,,30.0,,,,21,young,old,0.875
age_zs_000202,age,,30.0,,,,22,young,old,0.625
